STATE,DISTRICT,SITE_TYPE,WLCODE,LON,LAT,Jan 2004,May 2004,Aug 2004,Nov 2004,Jan 2005,May 2005,Aug 2005,Nov 2005,Jan 2006,May 2006,Aug 2006,Nov 2006,Jan 2007,May 2007,Aug 2007,Nov 2007,Jan 2008,May 2008,Aug 2008,Nov 2008,Jan 2009,May 2009,Aug 2009,Nov 2009,Jan 2010,May 2010,Aug 2010,Nov 2010,Jan 2011,May 2011,Aug 2011,Nov 2011,Jan 2012,May 2012,Aug 2012,Nov 2012,Jan 2013,May 2013,Aug 2013,Nov 2013,Jan 2014,May 2014,Aug 2014,Nov 2014,Jan 2015,May 2015,Aug 2015,Nov 2015
TG,Adilabad,Dug Well,W26026,78.33611111,19.08722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,,3.52,0.96,1.49,2.56,3.06,0.86,2.1,2.36,3.86,0.91,2.06
TG,Adilabad,Dug Well,W26027,78.40111111,19.08777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03,2.13,2.51,,5.73,3.53,3.93,4.03,7.33,2.39,4.3
TG,Adilabad,Dug Well,W26044,77.93361111,19.17055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18,1.35,1.0,,6.12,6.17,3.62,3.47,11.72,3.84,6.82
TG,Adilabad,Dug Well,W26046,78.10361111,19.17666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,6.3,1.55,5.18
TG,Adilabad,Dug Well,W26040,78.63444444,19.16027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,2.2,2.38,,8.1,2.85,3.67,3.3,4.78,2.77,3.4
TG,Adilabad,Dug Well,W26035,78.33944444,19.14166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,,4.05,1.9,3.1,2.6,6.6,0.86,3.15
TG,Adilabad,Dug Well,W26029,78.78083333,19.09833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,3.73,1.28,1.18,1.53,1.83,1.38,1.85,1.53,3.38,1.39,1.58
TG,Adilabad,Dug Well,W26056,78.87638889,19.20916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,2.08,3.15,2.7,7.25,1.01,2.88
TG,Adilabad,Dug Well,W26203,78.46472222,19.80972222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,,6.5,2.87,2.8
TG,Adilabad,Dug Well,W26096,79.33444444,19.33805556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,0.85,1.14,,1.9,1.4,1.83,1.25,3.0,0.53,1.95
