STATE,DISTRICT,SITE_TYPE,WLCODE,LON,LAT,Jan 2004,May 2004,Aug 2004,Nov 2004,Jan 2005,May 2005,Aug 2005,Nov 2005,Jan 2006,May 2006,Aug 2006,Nov 2006,Jan 2007,May 2007,Aug 2007,Nov 2007,Jan 2008,May 2008,Aug 2008,Nov 2008,Jan 2009,May 2009,Aug 2009,Nov 2009,Jan 2010,May 2010,Aug 2010,Nov 2010,Jan 2011,May 2011,Aug 2011,Nov 2011,Jan 2012,May 2012,Aug 2012,Nov 2012,Jan 2013,May 2013,Aug 2013,Nov 2013,Jan 2014,May 2014,Aug 2014,Nov 2014,Jan 2015,May 2015,Aug 2015,Nov 2015,geometry
TG,Adilabad,Dug Well,W04508,79.66666667,19.14583333,6.59,7.4,5.97,6.77,6.52,5.77,3.01,4.07,8.37,6.82,2.07,3.42,6.83,7.47,4.02,4.82,7.14,8.37,3.92,4.37,8.02,7.77,6.84,7.19,7.47,,4.22,4.2,7.86,8.4,4.95,4.64,3.97,8.3,,3.73,6.19,7.12,2.07,3.38,4.37,6.67,5.67,5.37,5.37,4.55,4.55,5.67,POINT (79.66666667 19.14583333)
TG,Adilabad,Dug Well,W04174,79.84583333,19.09166667,,6.06,3.36,4.26,3.11,6.96,1.5,2.32,5.26,4.91,1.86,1.57,2.21,5.45,3.45,2.13,2.45,8.19,1.61,4.56,3.06,8.19,1.75,2.21,3.46,6.84,0.85,1.34,3.85,5.42,1.15,,2.26,7.36,,1.42,4.23,6.42,0.43,1.59,3.16,4.96,2.96,3.06,3.31,9.06,4.72,3.51,POINT (79.84583333 19.09166667)
TG,Adilabad,Dug Well,W04524,78.51111111,19.08055556,6.13,7.99,5.17,5.97,6.62,8.16,2.62,3.42,7.92,7.29,2.37,3.47,6.35,6.73,5.27,5.37,5.77,8.27,4.45,4.97,7.69,9.33,6.52,5.88,6.07,,3.17,2.49,6.94,5.55,2.79,3.54,2.47,6.97,,2.65,4.38,5.67,2.27,3.24,3.37,5.52,3.62,3.86,3.97,6.37,4.62,5.77,POINT (78.51111111 19.08055556)
TG,Adilabad,Dug Well,W04525,78.58333333,19.01944444,,6.1,2.9,4.4,4.8,6.42,1.7,3.05,5.6,6.02,1.6,3.33,4.78,5.59,1.43,3.96,4.15,4.6,2.86,3.6,5.75,5.21,3.95,3.82,5.15,5.78,2.97,2.5,4.93,4.97,2.11,2.92,2.2,5.22,,2.11,4.38,5.58,,2.29,4.5,4.45,2.65,3.0,4.8,6.65,2.57,5.9,POINT (78.58333333 19.01944444)
TG,Adilabad,Dug Well,W04516,79.04722222,19.09444444,5.36,6.95,5.9,6.6,4.15,8.0,2.63,2.52,6.63,6.85,0.8,2.53,5.22,5.3,2.03,2.37,4.72,7.0,3.0,3.9,5.45,7.44,3.37,4.08,4.84,7.57,2.52,2.36,5.09,6.37,3.13,1.24,2.3,5.43,,1.12,2.84,4.65,0.55,1.23,2.7,2.3,2.95,1.3,3.27,5.27,4.8,1.25,POINT (79.04722222 19.09444444)
TG,Adilabad,Dug Well,W04162,79.09444444,19.13472222,2.82,4.7,4.0,4.7,2.68,4.76,1.73,1.7,,3.82,2.6,1.74,2.15,4.69,3.32,2.48,2.45,5.7,1.95,2.6,2.85,5.36,1.42,2.15,2.8,5.74,1.34,1.33,4.92,3.83,0.82,2.03,0.9,13.62,,1.5,3.58,4.99,0.89,2.44,2.5,3.0,2.35,2.37,2.55,15.4,2.29,2.1,POINT (79.09444444 19.13472222)
TG,Adilabad,Dug Well,W04167,78.65,19.04166667,2.65,7.28,2.73,2.93,3.01,6.33,1.89,0.75,4.15,5.66,1.36,2.19,4.36,5.47,2.88,2.54,4.78,4.23,2.19,3.53,3.32,4.13,2.8,3.28,3.68,5.34,1.33,2.49,3.99,3.27,1.54,2.37,2.83,4.63,,1.98,3.71,5.13,1.59,2.29,3.73,3.68,2.48,1.89,3.38,6.03,4.27,4.43,POINT (78.65 19.04166667)
TG,Adilabad,Dug Well,W04533,79.41666667,19.25,5.89,3.26,5.66,5.56,1.58,7.96,1.16,0.46,2.56,3.2,0.46,1.18,1.66,3.56,6.46,1.63,1.98,9.2,0.61,1.36,2.39,8.43,0.55,2.06,1.91,6.79,0.36,4.53,6.63,6.67,5.19,4.85,3.76,2.86,,1.13,6.21,2.89,,0.68,0.76,2.41,0.71,0.91,1.16,3.06,1.0,1.26,POINT (79.41666667 19.25)
TG,Adilabad,Bore Well,W03877,78.33333333,19.35,,5.48,28.6,28.6,5.29,,1.1,3.66,,5.9,6.6,2.98,,6.45,6.32,2.87,5.03,6.4,0.33,6.2,5.13,,3.94,3.75,5.02,4.82,0.08,0.86,3.67,4.93,0.02,2.58,3.1,7.72,,2.16,4.07,4.78,0.2,1.72,1.6,5.35,0.5,3.2,3.1,5.47,0.66,3.58,POINT (78.33333333 19.35)
TG,Adilabad,Bore Well,W04160,78.9,19.36666667,,5.45,8.3,8.7,4.29,,1.07,2.95,,5.63,1.1,2.2,4.4,5.36,1.41,2.58,3.96,10.0,0.98,11.0,4.4,4.98,0.92,3.14,4.2,5.41,0.54,3.5,4.65,4.84,0.38,3.21,2.9,14.25,,1.86,4.54,4.96,,2.05,9.2,4.75,1.8,3.4,4.3,5.04,0.35,3.1,POINT (78.9 19.36666667)
